model,accuracy,precision,recall,f1,roc_auc
svm,0.964813069431354,0.9621659146129816,0.9601662625562868,0.9611650485436893,0.9947594170097532
xgboost,0.9638705623625511,0.9540328092959672,0.9669206789054382,0.9604335110958198,0.994591080552293
logistic_regression,0.9576657241595978,0.9462915601023018,0.9612054035330794,0.9536901795686915,0.992253884532391
random_forest,0.9372447376688658,0.920256800135158,0.9433668167648077,0.9316685196271274,0.9852680584471747
naive_bayes,0.8579170593779454,0.8243088499918207,0.8727052303429165,0.8478169428787752,0.9292050984714761
